Catchment,Area (m²),Ice Discharge (kg/yr),Ice Yield (kg m⁻² yr⁻¹),Sediment Yield (kg m⁻² yr⁻¹),Total Flux (kg/yr),Gate Number,Gate Longitude,Gate Latitude
Gate 36.0,2047290000.0,3419312283099.4814,1670.1650880429647,1.0904471631780868,2232461572.702865,36.0,-477577.11377870705,-1254226.017441866
Gate 56.0,2892150000.0,2428049718912.7837,839.531047460465,0.7259834502504003,2099653035.6416953,56.0,-451573.7212943616,-1410282.7034883704
Gate 152.0,3569640000.0,2073837630253.766,580.9654839854344,0.5839326333309038,2084429285.2433276,152.0,671972.8601252628,-2089529.433139542
Gate 141.0,3738940000.0,1820131316783.8489,486.80409869745137,0.5259471442853683,1966484815.6543348,141.0,-218743.34551148492,-2012701.526162798
Gate 304.0,1810360000.0,2746105931613.123,1516.8838969117319,1.0300968637208179,1864846158.2056198,304.0,103698.72129436793,-3048277.6889535673
Gate 59.0,5892250000.0,1184819387810.258,201.0809771836324,0.31177211524525145,1837039246.0538328,59.0,-429970.90292275423,-1420486.4098837196
Gate 296.0,3466800000.0,1647489779592.3862,475.2191587609283,0.5185079526639114,1797563370.295248,296.0,159706.02818371684,-2942639.316860523
Gate 76.0,336990000.0,8117157668701.905,24087.236026890725,5.285733697847602,1781239398.8376634,76.0,-370363.12630480394,-1492312.500000003
Gate 149.0,12137040000.0,676460066296.1293,55.73517647598832,0.14596868762120668,1771627800.4060903,149.0,-206941.80584551362,-2067921.584302332
Gate 310.0,1139250000.0,3441765475048.8677,3021.080074653384,1.5482609365666726,1763856271.9835818,310.0,125301.53966597444,-3082290.043604741
Gate 298.0,3743680000.0,1470215746401.056,392.71939546143255,0.46320895807353935,1734106112.1607478,298.0,121901.0960334078,-2987855.741279137
Gate 110.0,730820000.0,4533642698911.696,6203.5011342214175,2.3694939482662556,1731673567.271945,110.0,-316556.10647181625,-1639966.1337209358
Gate 117.0,16147400000.0,458728909129.042,28.40884037857748,0.09798466766088644,1582197622.5873978,117.0,547156.5762004155,-1708190.915697672
Gate 199.0,2573370000.0,1605742664748.5256,623.9843725342744,0.6091319224315548,1567521815.2276902,199.0,525953.8100208796,-2361028.052325599
Gate 293.0,1023580000.0,2814479234142.229,2749.6426602143742,1.4644089104658866,1498939672.5746722,293.0,168907.22860125505,-2896422.529069821
Gate 297.0,1857950000.0,1753568789335.2805,943.8191497808232,0.7780417058288257,1445562587.3446667,297.0,141503.65344467867,-2946840.8430233183
Gate 128.0,3032510000.0,1087837943505.7659,358.7252617487711,0.43905721249175483,1331445387.4533715,128.0,-317956.28914405085,-1796623.0377906952
Gate 86.0,15626970000.0,347154556218.12555,22.21509071932214,0.08472052385788847,1323925084.7115076,86.0,-357961.5083507291,-1505917.44186046
Gate 138.0,2136600000.0,1177730058260.3564,551.2169139101172,0.5660585688320966,1209440738.1666577,138.0,-255548.14718162917,-1973487.2819767492
Gate 20.0,26775480000.0,198525681771.0794,7.414458369040608,0.04427154199015847,1185391787.1266482,20.0,-88126.3048016714,-920304.7238372291
Gate 121.0,1005220000.0,1775059904907.536,1765.8422085787547,1.1269720546643007,1132854848.7896483,121.0,-318556.3674321516,-1731199.2732558195
Gate 281.0,465500000.0,2970740051437.956,6381.82610405576,2.409545678632614,1121643513.403482,281.0,182709.02922755832,-2869212.64534889
Gate 101.0,366430000.0,3470425004881.9395,9470.908508806428,3.0432412523003456,1115134892.0804157,101.0,-327957.59394572076,-1620559.08430233
Gate 335.0,910950000.0,1836214613721.458,2015.7139400861276,1.2187303165146763,1110202381.8290443,335.0,93697.41649269893,-3182126.308139651
Gate 286.0,1433400000.0,1243878325076.654,867.7817253220693,0.7403345048440717,1061195479.2434924,286.0,159906.05427975024,-2876215.188953542
Gate 111.0,12340420000.0,275477764143.7006,22.323208135841455,0.08496414743031427,1048493264.2319989,111.0,623366.5187891456,-1645568.168604653
Gate 100.0,113010000.0,6888603165706.082,60955.69565265093,9.153599818501439,1034448315.4888476,100.0,-335958.6377870564,-1604953.4156976808
Gate 246.0,4424940000.0,542649495032.0443,122.63431708272752,0.23271223964665227,1029737697.7020575,246.0,179508.61169102418,-2753570.6395349153
Gate 64.0,248720000.0,3837740022719.847,15429.961493727273,4.06169022434487,1010223592.5990561,64.0,-402967.37995824585,-1445295.4215116252
Gate 334.0,2043070000.0,885107302504.2384,433.22416877749583,0.4908970567240814,1002937049.681269,334.0,-8315.892484342536,-3180725.799418718
Gate 137.0,1842460000.0,909309712334.0188,493.53023258796327,0.5302331019252817,976933280.9732546,137.0,-254347.9906054275,-1937474.200581401
Gate 119.0,1548670000.0,968500490114.0656,625.3756385247119,0.6099348276437153,944587769.5269926,119.0,-320956.68058455305,-1717994.4767441885
Gate 330.0,882810000.0,1327844194479.4172,1504.1109576006356,1.0249578468819922,904843036.8058915,330.0,90897.05114822614,-3168321.2936047646
Gate 60.0,727410000.0,1459304789795.501,2006.165422245365,1.2153124918978127,884030459.7313879,60.0,-427770.61586638785,-1428289.2441860456
Gate 4.0,2047620000.0,708117571695.0999,345.82469974658375,0.42964882186080205,879757520.6186155,4.0,274120.95511482854,-889293.4593023477
Gate 118.0,1548670000.0,843295874055.6134,544.5290953241255,0.5619864669252657,870331581.7331512,118.0,-323957.07202505105,-1713192.7325581417
Gate 134.0,1016180000.0,1041199130530.7739,1024.6207665283453,0.8167747284773513,829990143.5841149,134.0,544956.2891440511,-1870449.854651164
Gate 22.0,59174630000.0,62727139343.7714,1.060034331330359,0.014011872060784558,829147344.8042637,22.0,-258748.56471817257,-960919.4767442218
Gate 112.0,730820000.0,1301722843341.0684,1781.1811982992642,1.132751736435906,827837624.0220889,112.0,-317356.2108559515,-1649769.694767446
Gate 33.0,1547120000.0,769196254668.6904,497.1794396483081,0.5325484243806958,823916318.3278621,33.0,-489178.6273486444,-1236219.4767441903
Gate 323.0,633680000.0,1392818112275.7627,2197.9833863712956,1.282753698453798,812855363.6362027,323.0,99898.22546973289,-3140711.2645349866
Gate 10.0,3809440000.0,390954270203.2368,102.62775373893191,0.20944627564165139,797873020.2803324,10.0,-146733.95093946016,-917103.5610465296
Gate 308.0,2364720000.0,543001432469.0145,229.6261005400278,0.3372362174306519,797469228.0826112,308.0,129302.06158664078,-3059481.7587210103
Gate 188.0,1323630000.0,807525323168.8301,610.0838777972923,0.6010693296401466,795593396.7915872,188.0,488548.93006263033,-2300806.1773255854
Gate 208.0,1098260000.0,891175822099.9769,811.4433941871478,0.7115182376503062,781432019.6818253,208.0,483348.25156576594,-2454662.0639535026
Gate 160.0,3520250000.0,377426408540.2872,107.2157967588345,0.21493468961794251,756623841.1275622,160.0,766785.2296450965,-2127143.0959302415
Gate 147.0,1070770000.0,835194660659.5543,779.9944532061547,0.6950769308635433,744267525.2607563,147.0,733580.897703551,-2035309.7383721003
Gate 136.0,25040000.0,9576031170172.535,382429.3598311715,27.120074221068883,679086658.4955648,136.0,555157.6200417534,-1898660.1017441913
Gate 231.0,732220000.0,882502481455.583,1205.2422515850196,0.8990953685965999,658335610.7938024,231.0,263119.5198329893,-2647532.122093053
Gate 264.0,1660400000.0,486761995556.0837,293.1594769670463,0.3896514055950825,646977193.850075,264.0,-222543.84133612068,-2813392.3691860884
Gate 306.0,2441440000.0,369815327372.3539,151.47426411148908,0.2636759814321314,643749088.1076629,306.0,-210942.32776618705,-3058881.54069776
Gate 159.0,2128460000.0,370345110406.7461,173.996744315959,0.2862047795758773,609175425.1360718,159.0,-199540.8402922769,-2122141.279069776
Gate 52.0,815270000.0,718228759677.6604,880.9704265797349,0.746968769055302,608981228.347716,52.0,-467375.78288100247,-1397277.9796511608
Gate 303.0,333040000.0,1315378845786.1392,3949.6121960909777,1.8141939376516871,604199148.9955178,303.0,97897.96450939952,-3034672.7470931048
Gate 176.0,417770000.0,1074961863873.4811,2573.0949179536133,1.408045411814177,588239131.6936088,176.0,-196140.39665970745,-2199969.5494186166
Gate 240.0,2523180000.0,302400314919.9988,119.84888708692951,0.22957140091346567,579249967.3568383,240.0,178908.53340292475,-2735564.098837248
Gate 219.0,786340000.0,668556646019.3833,850.2131978779959,0.731432730809171,575154813.5444835,219.0,474147.0511482296,-2508481.613372108
